1003,2000-10-18 00:05:52.0,97.9,1
1033,2000-01-02 05:53:03.0,94.92,1
1047,2000-11-27 17:01:44.0,96.86,1
1081,2000-06-20 19:43:19.0,90.9,1
1082,2000-02-18 14:10:04.0,93.81,1
1089,2000-11-22 11:22:46.0,94.8,1
1096,2000-09-10 05:08:24.0,92.05,1
1117,2000-10-23 14:58:32.0,94.49,1
1128,2000-11-01 23:54:04.0,92.17,1
1141,2000-02-12 01:39:25.0,90.74,1
1145,2000-10-27 07:55:47.0,97.19,1
1173,2000-05-18 14:57:57.0,90.66,1
1188,2000-03-05 01:53:54.0,90.53,1
1192,2000-12-22 07:31:53.0,92.31,1
1207,2000-11-20 07:25:33.0,98.27,1
1220,2000-10-19 20:58:57.0,91.95,1
1223,2000-11-03 15:24:56.0,99.22,1
1227,2000-08-09 17:17:42.0,95.74,1
1228,2000-12-18 05:38:17.0,95.24,1
1232,2000-04-17 03:56:53.0,97.58,1
1242,2000-07-24 05:39:22.0,95.81,1
1251,2000-02-17 12:58:07.0,99.91,1
1260,2000-07-03 02:22:49.0,96.56,1
1284,2000-02-15 23:36:56.0,97.75,1
1286,2000-07-23 02:11:14.0,94.16,1
1289,2000-04-08 20:27:10.0,99.18,1
1310,2000-11-18 11:13:33.0,96.38,1
1311,2000-03-02 15:46:07.0,95.27,1
1322,2000-07-01 13:11:25.0,94.67,1
1337,2000-12-22 23:08:47.0,98.07,1
1338,2000-12-19 23:37:11.0,90.65,1
1345,2000-11-18 10:07:14.0,96.01,1
1347,2000-12-01 04:10:29.0,96.83,1
1354,2000-09-25 19:47:06.0,96.67,1
1357,2000-11-27 22:11:51.0,97.16,1
1373,2000-02-12 12:28:03.0,91.81,1
1386,2000-12-05 12:03:54.0,90.94,1
1388,2000-01-06 07:33:10.0,90.08,1
1415,2000-08-12 18:19:42.0,91.6,1
1416,2000-09-24 14:21:34.0,91.71,1
1419,2000-09-14 09:50:14.0,95.88,1
1422,2000-04-20 01:15:28.0,94.0,1
1440,2000-09-17 00:34:03.0,95.22,1
1445,2000-10-08 09:53:12.0,90.47,1
1449,2000-03-09 11:49:36.0,98.83,1
1450,2000-05-18 07:13:20.0,92.91,1
1457,2000-07-29 13:48:31.0,96.07,1
1474,2000-07-18 10:13:55.0,96.63,1
1491,2000-05-13 18:06:14.0,99.28,1
1512,2000-06-14 14:04:29.0,94.34,1
1513,2000-05-10 00:42:39.0,95.06,1
1520,2000-03-28 02:45:17.0,96.76,1
